-0.000000	1.432331	300.759958	320.394290	0.000045	0.000057	0.023431	0.000000
-1.422390	0.990818	301.391513	338.632404	0.000039	1.280425	0.004150	0.011605
-1.404473	0.978159	301.971170	354.908068	0.000039	6.320611	0.004149	0.011607
-1.333773	0.928741	302.503205	369.434173	0.000039	12.170032	0.004147	0.011609
-1.251708	0.871423	302.991544	382.400324	0.000039	18.243370	0.004146	0.011611
-1.166492	0.811934	303.439788	393.975598	0.000039	24.498565	0.004144	0.011613
-1.078715	0.750686	303.851241	404.310758	0.000039	30.905920	0.004143	0.011615
-0.988794	0.687971	304.228936	413.540230	0.000039	37.439166	0.004141	0.011617
-0.897097	0.624046	304.575654	421.783877	0.000039	44.075001	0.004140	0.011620
-0.803951	0.559139	304.893948	429.148573	0.000039	50.792768	0.004138	0.011622
-0.709646	0.493452	305.186160	435.729611	0.000039	57.574161	0.004137	0.011624
-0.614439	0.427164	305.454438	441.611957	0.000039	64.402976	0.004135	0.011626
-0.518558	0.360434	305.700754	446.871368	0.000039	71.264878	0.004134	0.011628
-0.422203	0.293402	305.926918	451.575391	0.000039	78.147195	0.004132	0.011631
-0.325554	0.226192	306.134588	455.784248	0.000039	85.038743	0.004131	0.011633
-0.228766	0.158913	306.325290	459.551637	0.000039	91.929655	0.004129	0.011635
-0.131978	0.091660	306.500419	462.925431	0.000039	98.811244	0.004128	0.011637
-0.035313	0.024520	306.661258	465.948315	0.000039	105.675870	0.004126	0.011639
0.061123	-0.042434	306.808984	468.658343	0.000039	112.516826	0.004125	0.011642
0.157234	-0.109135	306.944677	471.089447	0.000039	119.328237	0.004123	0.011644
0.252939	-0.175528	307.069327	473.271875	0.000039	126.104965	0.004122	0.011646
0.348165	-0.241563	307.183844	475.232597	0.000039	132.842531	0.004120	0.011648
0.442849	-0.307194	307.289062	476.995657	0.000039	139.537042	0.004118	0.011650
0.536936	-0.372386	307.385746	478.582492	0.000039	146.185124	0.004117	0.011653
0.630379	-0.437104	307.474598	480.012212	0.000039	152.783868	0.004115	0.011655
0.723137	-0.501322	307.556263	481.301855	0.000039	159.330775	0.004114	0.011657
0.815175	-0.565015	307.631333	482.466610	0.000039	165.823712	0.004112	0.011659
0.906463	-0.628162	307.700350	483.520020	0.000039	172.260872	0.004111	0.011661
0.996974	-0.690746	307.763813	484.474156	0.000039	178.640735	0.004109	0.011664
1.086688	-0.752752	307.822177	485.339780	0.000039	184.962038	0.004108	0.011666
1.175587	-0.814169	307.875863	486.126486	0.000039	191.223745	0.004106	0.011668
1.263655	-0.874987	307.925256	486.842828	0.000039	197.425022	0.004105	0.011670
1.350882	-0.935197	307.970708	487.496430	0.000039	203.565211	0.004103	0.011672
1.437258	-0.994794	308.012544	488.094089	0.000039	209.643817	0.004102	0.011675
1.522776	-1.053773	308.051061	488.641864	0.000039	215.660480	0.004100	0.011677
1.607430	-1.112131	308.086532	489.145156	0.000039	221.614965	0.004099	0.011679
1.691217	-1.169866	308.119207	489.608782	0.000039	227.507149	0.004097	0.011681
1.774136	-1.226977	308.149316	490.037032	0.000039	233.337001	0.004096	0.011683
1.856186	-1.283464	308.177071	490.433733	0.000039	239.104578	0.004094	0.011686
1.937367	-1.339327	308.202664	490.802295	0.000039	244.810010	0.004093	0.011688
2.017681	-1.394569	308.226273	491.145759	0.000039	250.453494	0.004091	0.011690
2.097131	-1.449191	308.248062	491.466836	0.000039	256.035282	0.004090	0.011692
2.175720	-1.503197	308.268179	491.767939	0.000039	261.555680	0.004088	0.011694
2.253453	-1.556588	308.286763	492.051223	0.000039	267.015035	0.004087	0.011697
2.330334	-1.609370	308.303939	492.318608	0.000039	272.413732	0.004085	0.011699
2.406368	-1.661547	308.319822	492.571803	0.000039	277.752191	0.004084	0.011701
2.481562	-1.713121	308.334520	492.812335	0.000039	283.030860	0.004082	0.011703
2.555921	-1.764099	308.348128	493.041561	0.000039	288.250211	0.004081	0.011705
2.629453	-1.814484	308.360737	493.260694	0.000039	293.410737	0.004079	0.011708
2.702163	-1.864283	308.372429	493.470813	0.000039	298.512950	0.004077	0.011710
2.774059	-1.913499	308.383279	493.672882	0.000039	303.557376	0.004076	0.011712
2.845149	-1.962139	308.393356	493.867757	0.000039	308.544553	0.004074	0.011714
2.915439	-2.010208	308.402723	494.056204	0.000039	313.475032	0.004073	0.011716
2.984937	-2.057712	308.411439	494.238903	0.000039	318.349370	0.004071	0.011719
3.053652	-2.104655	308.419556	494.416462	0.000039	323.168131	0.004070	0.011721
3.121591	-2.151045	308.427125	494.589424	0.000039	327.931884	0.004068	0.011723
3.188761	-2.196886	308.434190	494.758268	0.000039	332.641204	0.004067	0.011725
3.255172	-2.242185	308.440792	494.923427	0.000039	337.296665	0.004065	0.011728
3.320830	-2.286947	308.446970	495.085283	0.000039	341.898845	0.004064	0.011730
3.385744	-2.331178	308.452757	495.244178	0.000039	346.448323	0.004062	0.011732
3.449922	-2.374884	308.458186	495.400415	0.000039	350.945674	0.004061	0.011734
3.513372	-2.418070	308.463287	495.554266	0.000039	355.391477	0.004059	0.011736
3.576102	-2.460743	308.468086	495.705974	0.000039	359.786306	0.004058	0.011739
3.638120	-2.502909	308.472607	495.855752	0.000039	364.130734	0.004056	0.011741
3.699434	-2.544572	308.476874	496.003793	0.000039	368.425331	0.004055	0.011743
3.760052	-2.585739	308.480907	496.150268	0.000039	372.670663	0.004053	0.011745
3.819982	-2.626415	308.484726	496.295330	0.000039	376.867295	0.004052	0.011748
3.879231	-2.666607	308.488348	496.439113	0.000039	381.015786	0.004050	0.011750
